E edge,N tip,NE corner,S tip,SE corner,W edge,adopted_max,areal_scale,distance_km,easting_m,gap_percent,latitude,location,longitude,max,median,meridional_scale,midpoint_max,northing_m,omega_pyproj,omega_svd,optimal_lat,optimal_lon,optimal_max,p95,parallel_scale,point,projection,roundtrip_mas,section
0.173,0.371,0.53,0.353,0.592,0.161,,,,,,,,,0.592,,,,,,,,,,,,,**LAEA 18.5°S / 35.5°E (this CRS)**,,Table 1
0.27,0.57,0.673,0.727,1.008,0.305,,,,,,,,,1.008,,,,,,,,,,,,,"Albers Equal Area, parallels 13°/24° S",,Table 1
0.336,0.657,1.045,0.434,1.144,0.307,,,,,,,,,1.144,,,,,,,,,,,,,"Bonne, standard parallel 18.5° S (EPSG method 9827)",,Table 1
5.193,6.838,6.953,3.369,4.197,5.06,,,,,,,,,6.953,,,,,,,,,,,,,"Africa Albers (ESRI:102022, 20°N/23°S)",,Table 1
2.25,4.13,4.266,6.958,7.828,2.101,,,,,,,,,7.828,,,,,,,,,,,,,"Lambert Cylindrical EA, lat_ts 18.5°S",,Table 1
,,,,,,,,,,,,,,0.371,0.09,,,,,,,,,0.243,,,**LAEA 18.5°S / 35.5°E (this CRS)**,,Table 2
,,,,,,,,,,,,,,0.709,0.314,,,,,,,,,0.523,,,"Albers Equal Area, parallels 13°/24° S",,Table 2
,,,,,,,,,,,,,,0.66,0.108,,,,,,,,,0.398,,,"Bonne, standard parallel 18.5° S (EPSG method 9827)",,Table 2
,,,,,,,,,,,,,,6.828,4.402,,,,,,,,,6.355,,,"Africa Albers (ESRI:102022, 20°N/23°S)",,Table 2
,,,,,,,,,-292694.12,,25°58′00.000″ S,Maputo,32°35′00.000″ E,,,,,-828776.43,,,,,,,,,,0.0481,Section 8
,,,,,,,,,-205003.13,,16°10′00.000″ S,Tete,33°35′00.000″ E,,,,,257174.15,,,,,,,,,,0.0484,Section 8
,,,,,,,,,542883.76,,12°58′00.000″ S,Pemba,40°30′00.000″ E,,,,,605147.13,,,,,,,,,,0.0432,Section 8
,,,,,,,1.0,,,,-10,,,,,1.0628,,,6.98,6.98,,,,,0.9409,,,,Section 3 crosscheck
,,,,,,,1.0,,,,-23,,,,,1.0,,,0.0,0.0,,,,,1.0,,,,Section 3 crosscheck
,,,,,,,1.0,,,,,,,,,,,,0.3713,0.3713,,,,,,N tip,,,CRS crosscheck
,,,,,,,1.0,,,,,,,,,,,,0.3534,0.3534,,,,,,S tip,,,CRS crosscheck
,,,,,,,1.0,,,,,,,,,,,,0.1612,0.1612,,,,,,W edge,,,CRS crosscheck
,,,,,,,1.0,,,,,,,,,,,,0.1726,0.1726,,,,,,E edge,,,CRS crosscheck
,,,,,,,1.0,,,,,,,,,,,,0.5301,0.5301,,,,,,NE corner,,,CRS crosscheck
,,,,,,,1.0,,,,,,,,,,,,0.5925,0.5925,,,,,,SE corner,,,CRS crosscheck
,,,,,,,,1036,,,,,,,,,,,,,,,,,,N tip,,,Section 2.2
,,,,,,,,981,,,,,,,,,,,,,,,,,,S tip,,,Section 2.2
,,,,,,,,685,,,,,,,,,,,,,,,,,,W edge,,,Section 2.2
,,,,,,,,708,,,,,,,,,,,,,,,,,,E edge,,,Section 2.2
,,,,,,,,1235,,,,,,,,,,,,,,,,,,NE corner,,,Section 2.2
,,,,,,,,1278,,,,,,,,,,,,,,,,,,SE corner,,,Section 2.2
,,,,,,0.371,,,,3.9,,,,,,,0.381,,,,-18.85,36.55,0.357,,,,,,Origin optimality
